question,reference_answer,student_answer,label,student_answer_noisy,corruption_level
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By letting it sit in a dish for a day.,incorrect,Btlertiigitsitinaa dishforadao.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Let the water evaporate and the salt is left behind.,correct,Lbttieuaterevaporhteandthessttisleftbehind.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated and left salt crystals.,correct,Tmewdtetevaphorated andleftsaltceystals.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I saw a pinkish grayish color that was blocking the water.,incorrect,"Isawaprikishgrayi""shcolorthatwdsblockingthewateri",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You have to slowly tip the vial for only the water to go.,incorrect,"Yauhdvetoslowhly t""p thevialfardnlythewatertoga.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","By pouring the water and salt into the thing, and letting the water evaporate.",correct,"Btpolriigthehwatnr andsalti rothething,andletoingthewater evaparate.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By slowly pouring it in a tray.,incorrect,"Btslawlgpourhing""t in htrat.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated so there was only salt left.,correct,Tmewdtetevaphorated sotherewasontysalt left.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water with the salt in it and put it outside for the water to evaporate.,correct,"Wbputeeewather w""ththesaltwnttandputt itouteideforthewaterroejapoate.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,incorrect,"Isepardtelthesalt faomthewaterberausethesa-tarean therocksthat aeeonthe ottomandthuewantee iso""ntfre top.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Because you can see salt in water.,incorrect,"Bbcauseyo""canseesaut in water.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I let the water evaporate.,correct,Ilettieuaterevaporhte.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up and left the salt.,correct,Tmewdtetdriehdupaandleftthesatt.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We let the water evaporate.,correct,Wbleteeewather evaporate.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up.,correct,Tmewdtetdriehdup.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You just get water and the smashed mock rock and put the smashed rock and water together.,incorrect,Yaujlstgetwather avd thesmashedmackrockantd put thdsmashedrock andmatertogeher.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","You put the water, a little bit, in a cup and leave it overnight.",incorrect,"Yaupltfhewahteir, a littlebit,inecup andleaveitavernight.",0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,correct,Wbevdpotatedthesaut fromthewsrerbecausethewaterevaporatedandseparmted.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,correct,Wbputeeewather avd saltin thePatridish.Tbewatemevaporatedandthefa't bcamecrystals.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the salt into a Petri dish and poured the water out.,incorrect,Wbpolrelthesalt ivtoaePetridirhandpouredthewatdr out.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By the Petri dish.,incorrect,Bttheoutri dhisia.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By putting water in a Petri dish and letting the water evaporate.,correct,Btpurtiigwather inaPetridishsrdlettingtbewatemevaporate.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Poured the top of the vial out.,incorrect,Pauredeeetophoifthevial out.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The salt dissolved and the water evaporated and the salt went to the bottom.,correct,Tmesdltdissolvhed avd thewaterdraporatedandthesalowenttothebottom.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put it in a evaporation dish and the water evaporated.,correct,Wbputrfin ahevatoration dishandghewaterevaporated.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I put it on the evaporating dish.,correct,Iputitsitheevaporhting dish.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By pouring the water into the salt.,incorrect,Btpolriigthehwatnr intothesstt.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the water out of the bottle.,incorrect,Wbpolrelthewateiroutofthe boorle.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Letting the water evaporate.,correct,Lbttingthuwatehrevapaorate.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Put it on a dish and then the water gets in the air and the salt stays.,correct,Pntitsitdish avd thenthewsrergetsintheairasd thesaltstays.,0.3
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I do not know.,incorrect,Idonotoiow.,0.3
