question,reference_answer,student_answer,label,student_answer_noisy,corruption_level
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By letting it sit in a dish for a day.,incorrect,Bylettingitsit inh aidish for a day.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Let the water evaporate and the salt is left behind.,correct,Lbt thewafer evhaporate and the saltisleft behind.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated and left salt crystals.,correct,Tme watorevaporhatedand left salt crystals.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I saw a pinkish grayish color that was blocking the water.,incorrect,Isaw aprikishgrayishcolor that wasblockingthe water.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You have to slowly tip the vial for only the water to go.,incorrect,Yau havetoslowlyh tipthe vial for o lythe waterto go.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","By pouring the water and salt into the thing, and letting the water evaporate.",correct,"Bypouringteewather and salt into thething, and letting the wster evaporate.",0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By slowly pouring it in a tray.,incorrect,"Byslowlypo""ringit in h tray.",0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated so there was only salt left.,correct,Tme watorevaporhatedso there was o lysaltleft.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water with the salt in it and put it outside for the water to evaporate.,correct,Weput thewuter whith the salt in it sndput it outside for toe water to evaporate.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,incorrect,Iseparated fhe sahlt from the water becausethesaltare on therocks thatare onthebottom andthewater isonthe topn,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Because you can see salt in water.,incorrect,Bbcauseyoucan sehesalt in water.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I let the water evaporate.,correct,Ilet thewafer evhaporate.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up and left the salt.,correct,Tme watordriedup andleft the salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We let the water evaporate.,correct,Welet thewuter ehvaporate.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up.,correct,Tme watordriedup.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You just get water and the smashed mock rock and put the smashed rock and water together.,incorrect,Yau justgutwather and the smashed nockrockandput the smsshed rockand watertogether.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","You put the water, a little bit, in a cup and leave it overnight.",incorrect,"Yau putthewater,h ailittle bit, inacupandleave it overnifht.",0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,correct,Weevaporited thesalt from the water becausethewater evaporated and separated.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,correct,Weput thewuter ahnd salt in the Petridish. Thewaterevaporatedand the salt becamecrystals.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the salt into a Petri dish and poured the water out.,incorrect,Wepouredthesalt ihnto h Petri dish sndpoured the water out.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By the Petri dish.,incorrect,Bythe Peetidishh.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By putting water in a Petri dish and letting the water evaporate.,correct,Byputtingwuter ihna Petri dish and letting thewaterevaporate.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Poured the top of the vial out.,incorrect,Paured eeetoph of the vial out.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The salt dissolved and the water evaporated and the salt went to the bottom.,correct,Tme saltdtssolvhed and the water evaporated and the salt wenttothe bottom.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put it in a evaporation dish and the water evaporated.,correct,Weput itina evapohration dish and thewaterevaporated.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I put it on the evaporating dish.,correct,Iput it snthe evhaporating dish.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By pouring the water into the salt.,incorrect,Bypouringteewather into the salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the water out of the bottle.,incorrect,Wepouredthewateroutofthe bottle.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Letting the water evaporate.,correct,Lbttingthewaterevaporate.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Put it on a dish and then the water gets in the air and the salt stays.,correct,Pnt it sna dishh andthen the watergetsin the air and the sslt stays.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I do not know.,incorrect,Ido not oiow.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The salt separated with the water because the salt was heavier but the water was not even heavy.,incorrect,Tme saltsuparathed with the water becausethesaltwas heavier but the water was noteven heavy.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,correct,Weput thewuter ihna clear cup and ldtit sitandthe waterevaporated andthesaltstayed.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I put some water in a dish and let the water evaporate so the salt would stay.,correct,Iput somewuter ihna dish and let thewater evaporateso the sslt wouldstay.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Evaporate.,incorrect,Eraporate.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The crystals were salt.,incorrect,Tme cryofals where salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,incorrect,Weusedmibnifyihng glasses and somesortof guide thing thatoold us whatdifferent kinds ofsalt lookslike.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,You take a look through the magnifying glass.,incorrect,Yau takealook thhroughthe magnifyingglass.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because of the paper we looked at.,incorrect,Bbcauseofthepapher welooked at.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We looked at a piece of paper and one of the pictures looked like the crystals.,incorrect,Welookedata pieceh of paper and one ofthepictures looked likethe crystals.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They will not shine.,incorrect,Tmey wimlnot shhine.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They were square like salt.,correct,Tmey wesesquareh likesalt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,incorrect,Weknewttecrystahls were salt becausethecrystal identificationchart showed usthatthediffeent kindsof saltwerecrcystals.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,It said so on a paper.,incorrect,Itsaidsoona papehr.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because it was at it because we had a chart that could tell us that.,incorrect,Bbcauseitwasatit because we had a coartthatcouldtell usohat.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They looked like salt.,incorrect,Tmey loseed lihke salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.,correct,Wegot dseeet whith different kindsofcrystals. So 1 looked for the samepicturelikethe cystal andit saidKoshcr salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,The teacher told us.,incorrect,Tme teaneer tohld us.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because salt is made up of little crystals.,incorrect,Bbcausesaitismade upof little crystals.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because salt look like little pieces of a crystal.,incorrect,Bbcausesaitloohklike little piecesofe crystal.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I knew because they were shaped like kosher salt.,correct,Iknew benuuse thhey were shaped likekosher salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I knew the crystals were salt by the movie we watched.,incorrect,Iknew thectystalhswere salt by the moviewe watched.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because flour does not turn into crystals.,incorrect,Bbcausefldur dohes not turn into crystals.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because salt is a crystal.,incorrect,Bbcausesaitisa crystal.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,"Because it has a X in the middle, and salt was in it.",incorrect,"Bbcauseithasa Xh in the middle, andsaltwas in it.",0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,The crystals are kosher salt and kosher salt is salt!,incorrect,Tme cryofals ahre kosher salt and koshersaltis salt!,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,By looking at the crystal identification sheet.,incorrect,Bylookingatthe crhystalidentificationsheet.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because we measured them.,incorrect,Bbcausewemeasurehdthem.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because it was so shiny.,incorrect,Bbcauseitwassoshiny.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They were powdery.,incorrect,Tmey wesepowderhy.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because there were little shining things inside and I knew it was salt.,incorrect,Bbcausethure wehre little shining thingsinside and 1 knewwt was salt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because we learned it because it was white that is how we knew.,incorrect,Bbcausewelearnedh it because it was whitethatis howwe knew.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I would know that the crystals were salt is the way how it looks.,incorrect,Iwouldkmdwthahtthecrystals weresaltis the way how it loaks.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We poured the water we left it alone for 2 days and they dry up.,incorrect,Wepouredthewaterwe leftit alone for odays and theydry up.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,After the water dried we noticed it was Kosher salt.,incorrect,Atterttewaterdried we noticed it wssKoshersalt.,0.1
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,By breaking the rock.,incorrect,Bybreaking fhe rohck.,0.1
